TrackURI,Genre,track,Preview,Singers,Artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3jEqrIfwKO0M8ALu3TGilF,Hip-Hop,Like You (feat. Ciara),https://p.scdn.co/mp3-preview/4c263e4318da635b6766bd963007476a34ada0e8?cid=b82fb22d072d4120850c99225ff01644,Bow Wow,spotify:artist:7352aRY2mqSxBZwzUb6LmA,0.714,0.6,-8.365,0.0876,0.0465,0,0.0646,0.504,82.017
3jEqrIfwKO0M8ALu3TGilF,Pop,Like You (feat. Ciara),https://p.scdn.co/mp3-preview/4c263e4318da635b6766bd963007476a34ada0e8?cid=b82fb22d072d4120850c99225ff01644,Bow Wow,spotify:artist:7352aRY2mqSxBZwzUb6LmA,0.714,0.6,-8.365,0.0876,0.0465,0,0.0646,0.504,82.017
3jEqrIfwKO0M8ALu3TGilF,Blues,Like You (feat. Ciara),https://p.scdn.co/mp3-preview/4c263e4318da635b6766bd963007476a34ada0e8?cid=b82fb22d072d4120850c99225ff01644,Bow Wow,spotify:artist:7352aRY2mqSxBZwzUb6LmA,0.714,0.6,-8.365,0.0876,0.0465,0,0.0646,0.504,82.017
3jEqrIfwKO0M8ALu3TGilF,Rap,Like You (feat. Ciara),https://p.scdn.co/mp3-preview/4c263e4318da635b6766bd963007476a34ada0e8?cid=b82fb22d072d4120850c99225ff01644,Bow Wow,spotify:artist:7352aRY2mqSxBZwzUb6LmA,0.714,0.6,-8.365,0.0876,0.0465,0,0.0646,0.504,82.017
3jEqrIfwKO0M8ALu3TGilF,Pop,Like You (feat. Ciara),https://p.scdn.co/mp3-preview/4c263e4318da635b6766bd963007476a34ada0e8?cid=b82fb22d072d4120850c99225ff01644,Ciara,spotify:artist:2NdeV5rLm47xAvogXrYhJX,0.714,0.6,-8.365,0.0876,0.0465,0,0.0646,0.504,82.017
3jEqrIfwKO0M8ALu3TGilF,Blues,Like You (feat. Ciara),https://p.scdn.co/mp3-preview/4c263e4318da635b6766bd963007476a34ada0e8?cid=b82fb22d072d4120850c99225ff01644,Ciara,spotify:artist:2NdeV5rLm47xAvogXrYhJX,0.714,0.6,-8.365,0.0876,0.0465,0,0.0646,0.504,82.017
1m2xMsxbtxv21Brome189p,Blues,I Wanna Know,https://p.scdn.co/mp3-preview/2edf856cc617c86cbd1eccf339824bce05d9727f?cid=b82fb22d072d4120850c99225ff01644,Joe,spotify:artist:3zTOe1BtyTkwNvYZOxXktX,0.725,0.487,-5.959,0.0368,0.26,1.09E-05,0.431,0.599,136.086
5PH2eU6P5LdnwDezBu8334,Blues,If I Was Your Man,https://p.scdn.co/mp3-preview/be6fc3cc56065f925fddbc4a774d1c01e446ce74?cid=b82fb22d072d4120850c99225ff01644,Joe,spotify:artist:3zTOe1BtyTkwNvYZOxXktX,0.71,0.477,-7.44,0.0397,0.167,1.24E-06,0.128,0.143,94.932
1Dx8rIZaXzZPvUQRF2j9hB,Hip-Hop,Sweet Lady,https://p.scdn.co/mp3-preview/527ce266c4f26406cf32892b4b31014df0151f52?cid=b82fb22d072d4120850c99225ff01644,Tyrese,spotify:artist:08p7B5OtcUuVblvkQIlBhJ,0.588,0.522,-6.254,0.0383,0.233,0,0.24,0.584,66.024
1Dx8rIZaXzZPvUQRF2j9hB,Blues,Sweet Lady,https://p.scdn.co/mp3-preview/527ce266c4f26406cf32892b4b31014df0151f52?cid=b82fb22d072d4120850c99225ff01644,Tyrese,spotify:artist:08p7B5OtcUuVblvkQIlBhJ,0.588,0.522,-6.254,0.0383,0.233,0,0.24,0.584,66.024
6LGwYMXXgURfaequXipzHx,Pop,You Don't Know My Name,https://p.scdn.co/mp3-preview/50e5d96e2dfa636a507ab0d210052b51a1a52d6c?cid=b82fb22d072d4120850c99225ff01644,Alicia Keys,spotify:artist:3DiDSECUqqY1AuBP8qtaIa,0.263,0.663,-8.264,0.19,0.589,0.00451,0.342,0.25,167.271
