,TrackURI,track,acousticness,instrumentalness,energy,speechiness,liveness,loudness,danceability,tempo,valence
75,spotify:track:00rVekE3sG3lNZVhsjCHhs,Ya Mohammad Noore,0.233,0.0,0.72,0.19,0.343,-6.045,0.476,141.952,0.73
76,spotify:track:34dZ5aqESxsXrMFItk62UY,Allah Hi Jane Kaun,0.94,2.8e-06,0.306,0.513,0.285,-11.432,0.586,99.958,0.801
77,spotify:track:3wBEQoFVrL653ykfuCmGHq,Rang,0.774,1.08e-05,0.543,0.0771,0.797,-15.744,0.511,109.954,0.84
78,spotify:track:0majH6rThjnxL7Y1IslIVe,Humen To Loot Liya Milke,0.652,0.0,0.763,0.51,0.665,-7.121,0.487,112.736,0.599
79,spotify:track:3IEpNMZRSrcpzIAxT93HWU,Baksh Deta To Baat,0.788,0.0,0.682,0.487,0.482,-7.481,0.494,135.619,0.639
80,spotify:track:2xRtXbFAmk3cW6xE1zF7ye,Tu Jhoom,0.255,0.000414,0.481,0.0395,0.0909,-8.949,0.42,84.794,0.0594
81,spotify:track:3jc9nAmyU3V9JPwXYRJUkl,Heartbroken,0.535,0.000132,0.896,0.187,0.0705,-4.282,0.737,89.985,0.708
82,spotify:track:2NV1DaIWyiMVtLC4PCH3im,Groove Mera - Pakistan Super League,0.0298,0.0,0.831,0.21,0.259,-5.27,0.618,142.41,0.28
83,spotify:track:4IGWKWopTDx97zNKnl3K6e,Nasha Hogaya,0.63,0.0,0.703,0.0499,0.197,-4.925,0.648,89.978,0.608
84,spotify:track:3bv2Fwr64OCv66hTn1fCpM,Judaiya,0.5,0.0,0.59,0.0596,0.451,-6.471,0.435,76.307,0.218
85,spotify:track:4yaPqGCFobhA8swEwsi0l8,Sasu Mangay (Coke Studio Season 9),0.077,0.0,0.812,0.0453,0.0854,-4.998,0.642,119.987,0.504
86,spotify:track:650uRexHI7OwFOPMv2whCj,Tu Bewafa,0.485,0.0,0.449,0.278,0.309,-9.578,0.531,80.134,0.489
87,spotify:track:1F4wu1C1J05Y3p2WYsJVWL,Romantic Medley 3,0.108,0.0,0.65,0.0462,0.153,-6.659,0.52,140.161,0.517
88,spotify:track:59iKML4ChbRpd5K1r9BT5t,Medley,0.366,0.0,0.673,0.037,0.148,-6.599,0.605,77.964,0.332
89,spotify:track:5r7d2EdBodEl1Xd7bJPbX3,Kasoor,0.613,0.0,0.486,0.0595,0.0824,-5.906,0.696,129.924,0.448
90,spotify:track:6IlgL3ebWCHoYiTqYqkpBB,Adam,0.453,0.0,0.579,0.32,0.173,-13.326,0.507,96.99,0.464
91,spotify:track:0TxmxoCQMiXvfFA6DPM1wT,Shiva's Meditation,0.989,0.836,0.0523,0.0329,0.0632,-18.847,0.287,80.044,0.0794
