Singers,Genre,Artist,TrackURI,Preview,track,acousticness,instrumentalness,energy,speechiness,liveness,loudness,danceability,tempo,valence
Abida Parveen,Qawwali,spotify:artist:4sAweKU7CjDZ1bUEb6VF6a,spotify:track:3jc9nAmyU3V9JPwXYRJUkl,https://p.scdn.co/mp3-preview/fc3f9f1a3451552b7032b8131a9b5a94163aaa9c?cid=6f8bb3e64c2944d586037b9907043601,Heartbroken,0.535,0.000132,0.896,0.187,0.0705,-4.282,0.737,89.985,0.708
Abida Parveen,Qawwali,spotify:artist:4sAweKU7CjDZ1bUEb6VF6a,spotify:track:2NV1DaIWyiMVtLC4PCH3im,https://p.scdn.co/mp3-preview/a5074da174b10374741c2b503db86bfcc0bd2c73?cid=6f8bb3e64c2944d586037b9907043601,Groove Mera - Pakistan Super League,0.0298,0,0.831,0.21,0.259,-5.27,0.618,142.41,0.28
Abida Parveen,Qawwali,spotify:artist:4sAweKU7CjDZ1bUEb6VF6a,spotify:track:4IGWKWopTDx97zNKnl3K6e,https://p.scdn.co/mp3-preview/72d05c1f28bd58f09f82f92a0716723f078a5f7e?cid=6f8bb3e64c2944d586037b9907043601,Nasha Hogaya,0.63,0,0.703,0.0499,0.197,-4.925,0.648,89.978,0.608
Abida Parveen,Qawwali,spotify:artist:4sAweKU7CjDZ1bUEb6VF6a,spotify:track:3bv2Fwr64OCv66hTn1fCpM,https://p.scdn.co/mp3-preview/52bf81fe4cb4649e4b0a51de7f0f04f3250dbfcc?cid=6f8bb3e64c2944d586037b9907043601,Judaiya,0.5,0,0.59,0.0596,0.451,-6.471,0.435,76.307,0.218
Abida Parveen,Qawwali,spotify:artist:4sAweKU7CjDZ1bUEb6VF6a,spotify:track:4yaPqGCFobhA8swEwsi0l8,https://p.scdn.co/mp3-preview/b2b72744f9f9dbf55d656894c53b16b09f43be48?cid=6f8bb3e64c2944d586037b9907043601,Sasu Mangay (Coke Studio Season 9),0.077,0,0.812,0.0453,0.0854,-4.998,0.642,119.987,0.504
Abida Parveen,Qawwali,spotify:artist:4sAweKU7CjDZ1bUEb6VF6a,spotify:track:650uRexHI7OwFOPMv2whCj,https://p.scdn.co/mp3-preview/65b57a1fc1683c11a49dc3aaa248a7c3ccae630c?cid=6f8bb3e64c2944d586037b9907043601,Tu Bewafa,0.485,0,0.449,0.278,0.309,-9.578,0.531,80.134,0.489
Abida Parveen,Qawwali,spotify:artist:4sAweKU7CjDZ1bUEb6VF6a,spotify:track:1F4wu1C1J05Y3p2WYsJVWL,https://p.scdn.co/mp3-preview/9928b0e4cdb429d8cdd9b489dba784be041f2860?cid=6f8bb3e64c2944d586037b9907043601,Romantic Medley 3,0.108,0,0.65,0.0462,0.153,-6.659,0.52,140.161,0.517
Abida Parveen,Qawwali,spotify:artist:4sAweKU7CjDZ1bUEb6VF6a,spotify:track:59iKML4ChbRpd5K1r9BT5t,https://p.scdn.co/mp3-preview/b343961bbf4245ca99f7c55aa4cfd86dd9121973?cid=6f8bb3e64c2944d586037b9907043601,Medley,0.366,0,0.673,0.037,0.148,-6.599,0.605,77.964,0.332
Abida Parveen,Qawwali,spotify:artist:4sAweKU7CjDZ1bUEb6VF6a,spotify:track:5r7d2EdBodEl1Xd7bJPbX3,https://p.scdn.co/mp3-preview/07ba7e5113e45c528468bb3879e05a30da950daa?cid=6f8bb3e64c2944d586037b9907043601,Kasoor,0.613,0,0.486,0.0595,0.0824,-5.906,0.696,129.924,0.448
Fareed Ayaz,Qawwali,spotify:artist:5lIl1FQ31sT1c3ddy21AK2,spotify:track:6IlgL3ebWCHoYiTqYqkpBB,https://p.scdn.co/mp3-preview/8f9ed46b8968d2a1c63140f28e94a3317b621aa9?cid=6f8bb3e64c2944d586037b9907043601,Adam,0.453,0,0.579,0.32,0.173,-13.326,0.507,96.99,0.464
