Singers,Genre,Artist,TrackURI,Preview,track,acousticness,instrumentalness,energy,speechiness,liveness,loudness,danceability,tempo,valence
Maxwell,Blues,spotify:artist:2AOt5htsbtyaHd5Eq3kl3j,5qUNf2ihX0M4uY1qi9GMRp,https://p.scdn.co/mp3-preview/a9360e7c61afefe11c70ccd733e67bc075d2f3da?cid=b82fb22d072d4120850c99225ff01644,Whenever Wherever Whatever,0.902,0.000103,0.232,0.0362,0.0873,-14.57,0.319,175.309,0.296
Wale,Blues,spotify:artist:67nwj3Y5sZQLl72VNUHEYE,454UyoTlRt9FFI9ErpMPMk,https://p.scdn.co/mp3-preview/4a0eb37905f873f40f9fd32a665afeef49dd42dd?cid=b82fb22d072d4120850c99225ff01644,All My Love,0.384,0.00269,0.888,0.246,0.163,-4.272,0.725,87.011,0.595
Lloyd,Blues,spotify:artist:1Xfmvd48oOhEWkscWyEbh9,3y73SqnvXDPUtolNbyE1OI,https://p.scdn.co/mp3-preview/8d20376829ff44899825e230d17579e311588dcd?cid=b82fb22d072d4120850c99225ff01644,Secret Admirer,0.417,0,0.599,0.263,0.0963,-5.971,0.693,147.886,0.632
Musiq Soulchild,Blues,spotify:artist:3UVRliakQfa1pMWIsNuiZ8,0ODFPypnJLE6hKgahiuSzn,https://p.scdn.co/mp3-preview/0a49d387a7ecc54d9cf219df806894759850835f?cid=b82fb22d072d4120850c99225ff01644,teachme,0.473,0,0.61,0.135,0.0722,-5.11,0.499,172.969,0.436
Faith Evans,Blues,spotify:artist:5NDMothbpdpq2xHqSjrrWn,7MQywXGHEev7JmwwIzMcao,https://p.scdn.co/mp3-preview/30ccce7de37ac5b3a3ccc80ab19e4d5ad91d2762?cid=b82fb22d072d4120850c99225ff01644,Love Like This,0.00364,0,0.551,0.0616,0.0451,-7.328,0.767,100.904,0.796
Rihanna,Blues,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,2Ce5IyMlVRVvN997ZJjJJA,https://p.scdn.co/mp3-preview/716d5059aff4caf46c88d09cb7baef5898e3a71c?cid=b82fb22d072d4120850c99225ff01644,Selfish (feat. Rihanna),0.0303,7.64E-06,0.369,0.0741,0.383,-10.044,0.415,95.746,0.0913
Joe,Blues,spotify:artist:3zTOe1BtyTkwNvYZOxXktX,1RS3LStQYhju50eBdD9Uul,https://p.scdn.co/mp3-preview/0c1de62f56b190e8a82422fb131fcf0c2a8a42a6?cid=b82fb22d072d4120850c99225ff01644,Thank God I Found You (feat. Joe & 98°),0.586,0,0.532,0.0319,0.106,-5.882,0.472,129.777,0.152
Toni Braxton,Blues,spotify:artist:3X458ddYA2YcVWuVIGGOYe,70iDnqYvxCPl3mPd3ddxgD,https://p.scdn.co/mp3-preview/b08eb873da9985af131a6c15b156206277ff2175?cid=b82fb22d072d4120850c99225ff01644,Another Sad Love Song,0.0143,3.49E-05,0.71,0.0479,0.0366,-7.429,0.78,96.067,0.858
Bow Wow,Blues,spotify:artist:7352aRY2mqSxBZwzUb6LmA,2w85F9RF9mWfWfN5fIFEYE,https://p.scdn.co/mp3-preview/3ac21e4f4fa20c7f92c3eb0b21fe6ee52603fa36?cid=b82fb22d072d4120850c99225ff01644,Girlfriend,0.101,0,0.778,0.18,0.252,-5.648,0.724,75.007,0.858
Usher,Blues,spotify:artist:23zg3TcAtWQy7J6upgbUnj,7lVNTXkI3cHFvcXiI8damb,https://p.scdn.co/mp3-preview/51009fab8f1b1bbf2a06f9736fb7758c00f4dce3?cid=b82fb22d072d4120850c99225ff01644,I Need a Girl (Pt. 1) [feat. Usher & Loon],0.397,0,0.707,0.208,0.211,-5.758,0.66,89.279,0.761
